task_id,channel,task_type,status,owner,target,due_date,follow_up_date,primary_cta,secondary_cta,submission_url,source_artifact,evidence_command,evidence_url,completed_at,next_action,blocker
mcp_submission.awesome_mcp_servers,mcp_distribution,directory_submission,submitted,founder,awesome-mcp-servers,,,https://tinyzkp.com/signup?source=awesome_mcp_servers&medium=mcp_directory&platform=github&intent=mcp_install,https://tinyzkp.com/mcp?source=gtm_execution_ledger&medium=ops&platform=direct&intent=mcp_install,https://github.com/punkpeye/awesome-mcp-servers,marketing/generated/mcp_submissions/awesome_mcp_servers.md,python3 scripts/monitoring/gtm_distribution_monitor.py --offline,https://github.com/punkpeye/awesome-mcp-servers/pull/8733,2026-06-25,"Follow up on awesome-mcp-servers review, then update the public listing URL when accepted.",Awaiting directory review or merge.
agent_app.openai_chatgpt_app_submission,agent_app_distribution,app_review_submission,ready_for_manual_submission,founder,OpenAI ChatGPT app review,2026-06-25,,https://tinyzkp.com/signup?source=openai_chatgpt_app&medium=chatgpt_app&platform=openai&intent=mcp_install,https://tinyzkp.com/.well-known/tinyzkp-offers.json?source=openai_chatgpt_app&medium=chatgpt_app&platform=openai&intent=agent_offer,https://platform.openai.com,marketing/openai_chatgpt_app_submission.json,python3 scripts/ci/openai_chatgpt_app_check.py,,,"Submit the ChatGPT app prototype with widget URL, MCP endpoint, screenshots, and review prompts.",Requires OpenAI Platform Dashboard account access and reviewer submission.
outbound_send.01.alter,founder_outbound,manual_email,ready_after_manual_contact_research,founder,Alter,2026-06-29,2026-07-06,https://tinyzkp.com/fit?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=find_route&workflow=alter,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=alter,,marketing/generated/outbound_send_queue.md,python3 scripts/ci/outbound_send_queue_check.py,,,"Research exactly one Founder, head of engineering, or workflow owner and send one human email from the generated draft.",Requires manual contact research; contact name and email are intentionally blank before the founder selects a recipient.
outbound_send.02.korso,founder_outbound,manual_email,ready_after_manual_contact_research,founder,Korso,2026-06-29,2026-07-06,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=korso,https://tinyzkp.com/calculator?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=calculator&workflow=korso,,marketing/generated/outbound_send_queue.md,python3 scripts/ci/outbound_send_queue_check.py,,,"Research exactly one Founder, head of engineering, or workflow owner and send one human email from the generated draft.",Requires manual contact research; contact name and email are intentionally blank before the founder selects a recipient.
outbound_send.03.redouble-ai,founder_outbound,manual_email,ready_after_manual_contact_research,founder,Redouble AI,2026-06-29,2026-07-06,https://tinyzkp.com/fit?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=find_route&workflow=redouble-ai,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=redouble-ai,,marketing/generated/outbound_send_queue.md,python3 scripts/ci/outbound_send_queue_check.py,,,"Research exactly one Founder, platform lead, or agent product owner and send one human email from the generated draft.",Requires manual contact research; contact name and email are intentionally blank before the founder selects a recipient.
outbound_send.04.cyberdesk,founder_outbound,manual_email,ready_after_manual_contact_research,founder,Cyberdesk,2026-06-29,2026-07-06,https://tinyzkp.com/fit?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=find_route&workflow=cyberdesk,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=cyberdesk,,marketing/generated/outbound_send_queue.md,python3 scripts/ci/outbound_send_queue_check.py,,,"Research exactly one Founder, platform lead, or agent product owner and send one human email from the generated draft.",Requires manual contact research; contact name and email are intentionally blank before the founder selects a recipient.
outbound_send.05.inkeep,founder_outbound,manual_email,ready_after_manual_contact_research,founder,Inkeep,2026-06-29,2026-07-06,https://tinyzkp.com/fit?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=find_route&workflow=inkeep,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=inkeep,,marketing/generated/outbound_send_queue.md,python3 scripts/ci/outbound_send_queue_check.py,,,"Research exactly one Founder, platform lead, or agent product owner and send one human email from the generated draft.",Requires manual contact research; contact name and email are intentionally blank before the founder selects a recipient.
outbound_send.06.archal,founder_outbound,manual_email,ready_after_manual_contact_research,founder,Archal,2026-06-29,2026-07-06,https://tinyzkp.com/fit?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=find_route&workflow=archal,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=archal,,marketing/generated/outbound_send_queue.md,python3 scripts/ci/outbound_send_queue_check.py,,,"Research exactly one Founder, platform lead, or agent product owner and send one human email from the generated draft.",Requires manual contact research; contact name and email are intentionally blank before the founder selects a recipient.
outbound_send.07.godhands,founder_outbound,manual_email,ready_after_manual_contact_research,founder,GodHands,2026-06-29,2026-07-06,https://tinyzkp.com/signup?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=api_key&workflow=godhands,https://tinyzkp.com/?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=learn&workflow=godhands,,marketing/generated/outbound_send_queue.md,python3 scripts/ci/outbound_send_queue_check.py,,,"Research exactly one Founder, developer-experience lead, or senior engineer and send one human email from the generated draft.",Requires manual contact research; contact name and email are intentionally blank before the founder selects a recipient.
outbound_send.08.tiny,founder_outbound,manual_email,ready_after_manual_contact_research,founder,Tiny,2026-06-29,2026-07-06,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=tiny,https://tinyzkp.com/calculator?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=calculator&workflow=tiny,,marketing/generated/outbound_send_queue.md,python3 scripts/ci/outbound_send_queue_check.py,,,"Research exactly one Founder, head of engineering, or workflow owner and send one human email from the generated draft.",Requires manual contact research; contact name and email are intentionally blank before the founder selects a recipient.
outbound_send.09.coasty,founder_outbound,manual_email,ready_after_manual_contact_research,founder,Coasty,2026-06-29,2026-07-06,https://tinyzkp.com/fit?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=find_route&workflow=coasty,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=coasty,,marketing/generated/outbound_send_queue.md,python3 scripts/ci/outbound_send_queue_check.py,,,"Research exactly one Founder, platform lead, or agent product owner and send one human email from the generated draft.",Requires manual contact research; contact name and email are intentionally blank before the founder selects a recipient.
outbound_send.10.corsair,founder_outbound,manual_email,ready_after_manual_contact_research,founder,Corsair,2026-06-29,2026-07-06,https://tinyzkp.com/fit?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=find_route&workflow=corsair,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=corsair,,marketing/generated/outbound_send_queue.md,python3 scripts/ci/outbound_send_queue_check.py,,,"Research exactly one Founder, platform lead, or agent product owner and send one human email from the generated draft.",Requires manual contact research; contact name and email are intentionally blank before the founder selects a recipient.
